meter_id,owner_id,wallet,kwh,window_epoch,mint_sig,slot,confirmed,grid_balance,delivered_onchain
deed6a28-dabf-4b84-9206-e8a2f22a311a,1ac0ec0f-e37b-43ce-b955-82e27ea1d3da,Hp4odhnAGz8F6xRmBmWQSVm1jAMiVw3kPmTpvFxFGgpg,5.0,1783693800,64wFH4Nw7U39kk4UtZyGhBnsvEC8BJfnWrnZo2jgZ1BLhbEBZVbA9fGmk7XSwmje1QvXitkmmztRPTTXU7tYwYe4,572,True,5.0,True
053c5b98-264e-49c4-b79f-5976867fe537,0ba0652e-b8cf-425f-9c74-ff2bb6982286,Fhm7uFCRqjen846Zb8FLwMD72p23CrSnSuU2sDD18EB3,5.0,1783693800,5mdvKZHYFbRXh2ziycdbXYMAKXUyueBZLoL2Z2EFiPTSorfBWqBSAcVuTj2yYYQwCFfuYcUn3Gq1p8zSLncn6528,572,True,5.0,True
247b1ce8-2844-4272-89be-a220bf37345f,a4e3cbba-6ef4-4a63-af65-2eed747a43bd,7yuSUr9CSD2ev1UVyxhaWX7G6bwhwVzzbY7nh4XbkWg1,5.0,1783693800,o8nyRGJi4WqgY8G6YDYVvMC8GBzx5WYZnX4BLByTYPqQkBYyyPULtc3AoCnVsnkX4R3fz1zisnS5FCV7xjNFNCS,572,True,5.0,True
baa7e769-416a-4d73-a1cf-2c530b7105c6,501e9aeb-b625-4a8c-abf5-1ca133927a12,5JNznadnAjxvcLcNJoZB6jP2mVxRUkeLphnbeRC3fziE,5.0,1783693800,3Spdp4o6qLUvFekWpN9LAmUMbHyZDDnFi2zRUr3tVe15XP9U5rP8Dxs1e1hYL8Bu34wVUYAQfdpGgGyqdDHjH3W9,572,True,5.0,True
3d095620-9250-4205-a129-56cf890e8c92,4e509679-497f-457d-9ae6-51a5f271ca62,e61VYUwwR7gEZ2AQ1brbwf7rDbGSV6YpUYLJhtTJqXT,5.0,1783693800,2cUJ48429iNFxBfrrnDTyKpgDjRyrERwDeLPQG3X8c9tXNkMKL7H2LRuRh7Js7ZJVGsdUzCGhsR9xdk83ZVsSMy5,572,True,5.0,True
b0724989-9b95-4e6e-90d6-f35cba761947,9cc44932-f013-4bb6-8440-d9a26ed621e6,4Yhf2iqWtPsZnL9f6rYNSMxRvrjHhSJtCffPz5XX8sGd,5.0,1783693800,5k5njL5gDnNSPnBNiRBycafXG3XdRPR1HvKD5UeUfJF7tfJ7D1a9FxiX6eztDzP2cmTYY9JEKpRcN39sfoCaHbwH,572,True,5.0,True
200d2c58-a9b6-4e42-90b2-559c9f629c9c,b10c17f5-02bd-4cd0-85e5-21db07d9cb66,E3NjnVcVnjUHzZAAL5TKYMXdeUAENQs7aVYDSkUpwSeE,5.0,1783693800,5f53Xj4HKAq4xQiN9tdqZBbfXu7yPBvrNgX4bMxq5wYTgfQBMQbi67nGQNfZm2bE3NGBQUg1UxN12SnuxtQxZYjM,572,True,5.0,True
6e551d75-f7b9-4562-a160-56f5cf4aa0ef,05d7fff3-c077-48e4-bd6a-93c875b100ce,DMw9q1EJpMM72waCmBFdowNNwdkPyUrTwjR39a42mV9X,5.0,1783693800,4kRGUqY46oDQVE9J16n6SrGR8eFxQ1aTVEvwjgqWE76ncCNVRL816Qwua8BYis7zhVkQH3hEqAJmsa36nuz6pwfB,572,True,5.0,True
ff5d8eb9-f199-41ee-9b39-1100db107bef,f82976cb-e909-489f-9513-752a9c907e28,6TEukYQw4Ybkc3YoZbEfZgr1SeQiFXV2KXVE2enXWWFj,5.0,1783693800,5PKmdrQrqaRtmQFJeYctWjuEwtBHpmfUZznKGNtcb8qmiohog7vBpiqDN7FDNGvWz2SdNNDFvagzeN5tEZ3qW14R,572,True,5.0,True
33a65435-5ea9-43bb-9e0f-b8bf76c5bdc6,6994f39e-5995-44e7-931f-80d59a95647e,Rux2Z6Nu9VzdeGAsrPekjzvSDeUHVShAwvyPLQfncE6,5.0,1783693800,64EkjSvvUj256KHwVfZVScfHUppGMcTtdEYtiZaxb8zqUvHLYbT2V9RhwoUMECC54he3XpwrxAntEN8bpih6G6E2,572,True,5.0,True
9ecc55a2-6fa3-4d24-b968-7574a2466fb3,43122ead-86dc-4a68-91ca-4b45c1379d16,3KKd6bhABCaiaKUjq53Z7pFvE8LoWuaYj7FnmhVYP1tn,5.0,1783693800,4CuPr3jXVLfTGVmhzXKKBFTXMNKaXtBVqRwCzSWUTE7retn8yR4WGXDRM1utJcvyudzVwowQpvDn3Ah67kEUxhnM,572,True,5.0,True
b592e0b9-e404-4da5-8b1e-d7f0f66ddf4e,8c5fc398-2e9a-44fe-8610-666ca1bf1fa2,6hZ4pJpbYdGfp8XDybNu5NjNauFn5dc7mEiYoQMykHrc,5.0,1783693800,2UqdjT4AYDhMSKXLSxNwYuZxdZer2brWfBEntnDg8YGyXzDvpKZsWK8MMaJG5KkhK25jb3omKqEqtMtMh6qWzjcw,572,True,5.0,True
6a902714-3b3f-4b82-93ad-5ae59ada1dfc,5b236558-8a20-4773-a150-79b2e4ba192f,5wz214CQzecTXCggc53ejU4hYiUpo3z6QxqP4emWtHKT,5.0,1783693800,3fKieEKyZN21VajJpR5cGn1jkFZkLWDZn4zqB5gQgR7ZD2aQZoKpvx74ig6R6uZ1umNN3MfpRVSKDKLg4yzGYjAt,572,True,5.0,True
